"","","","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Country","Data Source","Beverage Types"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"
"Afghanistan"," Data source"," All types","","0.02","0.03","0.03","0.04","0.04","0.03"
"Afghanistan"," Data source"," Beer","","0.01","0.01","0.01","0.01","0.01","0.01"
"Afghanistan"," Data source"," Wine","","0","0","0","0","0","0"
"Afghanistan"," Data source"," Spirits","","0.02","0.02","0.02","0.03","0.03","0.02"
"Afghanistan"," Data source"," Other alcoholic beverages","","0","0","0","0","0","0"
"Albania"," Data source"," All types","5.07","4.77","4.81","5.06","5.43","5.65","5.53"
"Albania"," Data source"," Beer","1.74","1.57","1.58","1.82","1.81","1.88","1.72"
"Albania"," Data source"," Wine","1.34","1.17","1.12","1.06","1.30","1.27","1.30"
"Albania"," Data source"," Spirits","1.90","1.94","2.02","2.09","2.22","2.40","2.39"
"Albania"," Data source"," Other alcoholic beverages","0.09","0.08","0.09","0.09","0.10","0.10","0.12"
"Algeria"," Data source"," All types","0.56","0.56","0.56","0.54","0.49","0.44","0.39"
"Algeria"," Data source"," Beer","0.32","0.31","0.28","0.26","0.23","0.21","0.18"
"Algeria"," Data source"," Wine","0.14","0.14","0.18","0.18","0.18","0.17","0.16"
"Algeria"," Data source"," Spirits","0.10","0.10","0.10","0.10","0.07","0.06","0.04"
"Algeria"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0"
"Andorra"," Data source"," All types","10.06","9.97","9.95","9.78","10.06","10.31","10.64"
"Andorra"," Data source"," Beer","3.43","3.33","3.33","3.11","3.26","3.25","3.54"
"Andorra"," Data source"," Wine","4.22","4.32","4.28","4.33","4.46","4.55","4.38"
"Andorra"," Data source"," Spirits","2.41","2.32","2.34","2.35","2.35","2.51","2.73"
"Andorra"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0"
"Angola"," Data source"," All types","4.70","5.65","9.00","8.02","8.14","7.86","7.67"
"Angola"," Data source"," Beer","3.30","3.66","5.06","5.02","5.17","4.98","4.75"
"Angola"," Data source"," Wine","0.83","1.24","2.65","1.93","1.95","1.85","1.83"
"Angola"," Data source"," Spirits","0.53","0.70","1.21","1.02","0.98","0.98","1.02"
"Angola"," Data source"," Other alcoholic beverages","0.04","0.05","0.07","0.06","0.04","0.04","0.08"
"Antigua and Barbuda"," Data source"," All types","","8.45","8.45","8.50","8.30","7.91","7.81"
"Antigua and Barbuda"," Data source"," Beer","","2.79","2.70","2.74","2.78","2.84","2.87"
"Antigua and Barbuda"," Data source"," Wine","","1.55","1.81","1.66","1.68","1.51","1.42"
"Antigua and Barbuda"," Data source"," Spirits","","3.84","3.66","3.81","3.54","3.27","3.24"
"Antigua and Barbuda"," Data source"," Other alcoholic beverages","","0.27","0.29","0.28","0.30","0.29","0.28"
"Argentina"," Data source"," All types","","8.42","7.93","8.20","8.35","8.11","8.15"
"Argentina"," Data source"," Beer","","3.36","3.36","3.32","3.21","3.15","3.32"
"Argentina"," Data source"," Wine","","3.38","3.22","3.48","4.04","4.05","3.91"
"Argentina"," Data source"," Spirits","","0.81","0.56","0.52","0.25","0.24","0.45"
"Argentina"," Data source"," Other alcoholic beverages","","0.87","0.80","0.89","0.85","0.68","0.47"
"Armenia"," Data source"," All types","3.77","3.84","3.97","3.72","3.84","4.06","4.23"
"Armenia"," Data source"," Beer","0.40","0.46","0.51","0.42","0.25","0.33","0.39"
"Armenia"," Data source"," Wine","0.26","0.20","0.13","0.13","0.31","0.39","0.30"
"Armenia"," Data source"," Spirits","3.10","3.16","3.32","3.17","3.27","3.33","3.52"
"Armenia"," Data source"," Other alcoholic beverages","0","0","0.01","0.01","0.01","0.01","0.01"
"Australia"," Data source"," All types","9.71","9.52","9.71","9.87","10.03","10.30","10.52"
"Australia"," Data source"," Beer","3.87","3.76","4.01","4.04","4.14","4.31","4.51"
"Australia"," Data source"," Wine","3.64","3.66","3.64","3.70","3.78","3.79","3.87"
"Australia"," Data source"," Spirits","1.25","1.22","1.23","1.29","1.26","1.34","1.30"
"Australia"," Data source"," Other alcoholic beverages","0.95","0.88","0.83","0.84","0.85","0.86","0.84"
"Austria"," Data source"," All types","","11.40","12.20","11.60","12.10","11.90","12.10"
"Austria"," Data source"," Beer","","6.10","6.30","6.00","6.30","6.10","6.10"
"Austria"," Data source"," Wine","","3.60","4.20","3.90","4.10","4.10","4.30"
"Austria"," Data source"," Spirits","","1.70","1.70","1.70","1.70","1.70","1.70"
"Austria"," Data source"," Other alcoholic beverages","","","0","0","0","0","0"
"Azerbaijan"," Data source"," All types","0.39","0.84","1.95","2.04","1.98","1.94","1.90"
"Azerbaijan"," Data source"," Beer","0.24","0.30","0.19","0.31","0.29","0.28","0.29"
"Azerbaijan"," Data source"," Wine","0.14","0.13","0.15","0.15","0.15","0.15","0.15"
"Azerbaijan"," Data source"," Spirits","0","0.40","1.61","1.57","1.53","1.50","1.46"
"Azerbaijan"," Data source"," Other alcoholic beverages","0.01","0","0.01","0.01","0.01","0.01","0.01"
"Bahamas"," Data source"," All types","","8.65","8.62","8.55","8.86","8.94","8.75"
"Bahamas"," Data source"," Beer","","3.39","3.53","3.47","3.41","3.34","3.23"
"Bahamas"," Data source"," Wine","","1.44","1.31","1.35","1.61","1.65","1.54"
"Bahamas"," Data source"," Spirits","","3.56","3.51","3.46","3.56","3.68","3.69"
"Bahamas"," Data source"," Other alcoholic beverages","","0.26","0.27","0.27","0.27","0.27","0.29"
"Bahrain"," Data source"," All types","2.08","2.16","2.12","2.12","2.02","1.86","2.10"
"Bahrain"," Data source"," Beer","0.39","0.39","0.38","0.36","0.35","0.34","0.45"
"Bahrain"," Data source"," Wine","0.13","0.13","0.12","0.11","0.11","0.12","0.11"
"Bahrain"," Data source"," Spirits","0.94","1.00","1.04","1.14","1.22","1.19","1.34"
"Bahrain"," Data source"," Other alcoholic beverages","0.61","0.64","0.58","0.51","0.34","0.22","0.20"
"Bangladesh"," Data source"," All types","","0.01","0.01","0.01","0.01","0.01","0.01"
"Bangladesh"," Data source"," Beer","","0","0","0","0","0","0"
"Bangladesh"," Data source"," Wine","","0","0","0","0","0","0"
"Bangladesh"," Data source"," Spirits","","0","0","0","0","0","0"
"Bangladesh"," Data source"," Other alcoholic beverages","","0","0","0","0","0","0"
"Barbados"," Data source"," All types","","9.15","8.97","8.88","8.79","8.49","8.45"
"Barbados"," Data source"," Beer","","3.44","3.48","3.46","3.44","3.37","3.33"
"Barbados"," Data source"," Wine","","0.96","0.83","0.89","0.87","0.79","0.90"
"Barbados"," Data source"," Spirits","","4.58","4.47","4.35","4.28","4.13","4.02"
"Barbados"," Data source"," Other alcoholic beverages","","0.17","0.18","0.19","0.20","0.21","0.21"
"Belarus"," Data source"," All types","10.05","10.09","11.71","12.37","14.14","15.05","13.88"
"Belarus"," Data source"," Beer","2.29","2.29","2.48","2.55","2.53","2.60","2.47"
"Belarus"," Data source"," Wine","0.23","0.21","0.24","0.24","0.24","0.23","0.20"
"Belarus"," Data source"," Spirits","4.92","4.62","5.21","5.57","7.10","6.90","5.89"
"Belarus"," Data source"," Other alcoholic beverages","2.61","2.97","3.77","4.01","4.27","5.33","5.31"
"Belgium"," Data source"," All types","","10.36","10.57","10.33","10.09","10.14","10.27"
"Belgium"," Data source"," Beer","","4.60","4.72","4.60","4.78","4.89","5.03"
"Belgium"," Data source"," Wine","","3.97","3.97","3.87","3.72","3.71","3.72"
"Belgium"," Data source"," Spirits","","1.47","1.47","1.42","1.54","1.49","1.48"
"Belgium"," Data source"," Other alcoholic beverages","","0.32","0.41","0.44","0.05","0.05","0.05"
"Belize"," Data source"," All types","","6.20","6.17","6.17","6.28","6.26","6.38"
"Belize"," Data source"," Beer","","4.29","4.18","4.18","4.21","4.26","4.35"
"Belize"," Data source"," Wine","","0.12","0.15","0.17","0.20","0.14","0.13"
"Belize"," Data source"," Spirits","","1.65","1.69","1.68","1.72","1.71","1.75"
"Belize"," Data source"," Other alcoholic beverages","","0.14","0.14","0.15","0.16","0.15","0.15"
"Benin"," Data source"," All types","","1.55","1.60","1.45","1.42","1.44","1.37"
"Benin"," Data source"," Beer","","0.99","1.00","0.88","0.95","0.79","0.67"
"Benin"," Data source"," Wine","","0.15","0.19","0.15","0.13","0.22","0.25"
"Benin"," Data source"," Spirits","","0.20","0.20","0.20","0.14","0.16","0.16"
"Benin"," Data source"," Other alcoholic beverages","","0.21","0.21","0.21","0.20","0.28","0.29"
"Bhutan"," Data source"," All types","","","","0.19","0.40","0.18","1.16"
"Bhutan"," Data source"," Beer","","","","0.09","0.13","0.03","1.06"
"Bhutan"," Data source"," Wine","","","","0.01","0.01","0","0.02"
"Bhutan"," Data source"," Spirits","","","","0.10","0.26","0.15","0.08"
"Bhutan"," Data source"," Other alcoholic beverages","","","","0","0","0","0"
"Bolivia (Plurinational State of)"," Data source"," All types","3.57","3.61","3.69","3.73","3.82","3.86","3.90"
"Bolivia (Plurinational State of)"," Data source"," Beer","2.60","2.65","2.70","2.69","2.77","2.85","2.97"
"Bolivia (Plurinational State of)"," Data source"," Wine","0.15","0.15","0.16","0.17","0.22","0.24","0.22"
"Bolivia (Plurinational State of)"," Data source"," Spirits","0.76","0.76","0.77","0.77","0.75","0.73","0.69"
"Bolivia (Plurinational State of)"," Data source"," Other alcoholic beverages","0.06","0.06","0.05","0.05","0.04","0.04","0.02"
"Bosnia and Herzegovina"," Data source"," All types","4.44","4.33","4.34","4.43","4.69","4.65","4.50"
"Bosnia and Herzegovina"," Data source"," Beer","3.37","3.28","3.20","3.28","3.50","3.43","3.33"
"Bosnia and Herzegovina"," Data source"," Wine","0.38","0.37","0.47","0.47","0.48","0.48","0.44"
"Bosnia and Herzegovina"," Data source"," Spirits","0.55","0.54","0.53","0.54","0.57","0.61","0.62"
"Bosnia and Herzegovina"," Data source"," Other alcoholic beverages","0.14","0.14","0.14","0.14","0.13","0.13","0.12"
"Botswana"," Data source"," All types","","6.22","5.47","4.72","5.13","6.00","5.61"
"Botswana"," Data source"," Beer","","2.99","2.84","2.54","2.20","2.23","2.34"
"Botswana"," Data source"," Wine","","1.46","0.86","0.41","0.42","0.55","0.71"
"Botswana"," Data source"," Spirits","","0.27","0.27","0.27","0.56","1.48","0.63"
"Botswana"," Data source"," Other alcoholic beverages","","1.49","1.49","1.49","1.95","1.75","1.94"
"Brazil"," Data source"," All types","6.31","6.97","7.17","7.10","7.31","7.43","7.38"
"Brazil"," Data source"," Beer","3.90","4.45","4.53","4.36","4.52","4.40","4.34"
"Brazil"," Data source"," Wine","0.21","0.25","0.27","0.27","0.25","0.42","0.40"
"Brazil"," Data source"," Spirits","2.16","2.24","2.33","2.44","2.51","2.58","2.61"
"Brazil"," Data source"," Other alcoholic beverages","0.03","0.03","0.03","0.03","0.03","0.03","0.03"
"Brunei Darussalam"," Data source"," All types","","0.64","0.64","0.64","0.65","0.94","0.87"
"Brunei Darussalam"," Data source"," Beer","","0.64","0.64","0.64","0.65","0.85","0.82"
"Brunei Darussalam"," Data source"," Wine","","0","0","0","0","0.05","0.01"
"Brunei Darussalam"," Data source"," Spirits","","0","0","0","0","0.05","0.03"
"Brunei Darussalam"," Data source"," Other alcoholic beverages","","0","0","0","0","0","0"
"Bulgaria"," Data source"," All types","11.49","11.30","10.67","10.74","11.30","11.05","10.83"
"Bulgaria"," Data source"," Beer","4.45","4.22","4.06","4.26","4.30","4.10","4.01"
"Bulgaria"," Data source"," Wine","1.97","1.96","1.74","1.53","1.93","1.72","1.73"
"Bulgaria"," Data source"," Spirits","4.92","4.99","4.76","4.87","4.98","5.16","5.02"
"Bulgaria"," Data source"," Other alcoholic beverages","0.14","0.13","0.11","0.09","0.08","0.07","0.07"
"Burkina Faso"," Data source"," All types","","4.87","4.85","4.63","4.64","4.51","4.65"
"Burkina Faso"," Data source"," Beer","","0.88","0.85","0.67","0.63","0.53","0.46"
"Burkina Faso"," Data source"," Wine","","0.13","0.14","0.10","0.10","0.18","0.17"
"Burkina Faso"," Data source"," Spirits","","0.24","0.24","0.24","0.20","0.13","0.12"
"Burkina Faso"," Data source"," Other alcoholic beverages","","3.62","3.62","3.62","3.70","3.67","3.90"
"Burundi"," Data source"," All types","","","","","","4.16","4.16"
"Burundi"," Data source"," Beer","","","","","","1.63","1.59"
"Burundi"," Data source"," Wine","","","","","","0","0"
"Burundi"," Data source"," Spirits","","","","","","0","0"
"Burundi"," Data source"," Other alcoholic beverages","","","","","","2.51","2.56"
"Cabo Verde"," Data source"," All types","","4.12","3.88","3.53","4.98","5.06","4.73"
"Cabo Verde"," Data source"," Beer","","2.27","2.27","2.27","2.31","2.81","2.51"
"Cabo Verde"," Data source"," Wine","","1.85","1.62","1.26","1.52","1.55","1.62"
"Cabo Verde"," Data source"," Spirits","","0","0","0","1.16","0.70","0.61"
"Cabo Verde"," Data source"," Other alcoholic beverages","","0","0","0","0","0","0"
"Cambodia"," Data source"," All types","3.50","3.32","3.04","2.78","2.50","2.38","2.14"
"Cambodia"," Data source"," Beer","3.08","2.92","2.63","2.37","2.09","1.98","1.75"
"Cambodia"," Data source"," Wine","0.02","0","0","0","0","0","0"
"Cambodia"," Data source"," Spirits","0.39","0.39","0.40","0.41","0.41","0.40","0.39"
"Cambodia"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0"
"Cameroon"," Data source"," All types","","6.50","6.71","6.67","6.35","6.12","6.17"
"Cameroon"," Data source"," Beer","","2.83","3.01","2.98","2.81","2.50","2.53"
"Cameroon"," Data source"," Wine","","0.09","0.13","0.11","0.11","0.11","0.09"
"Cameroon"," Data source"," Spirits","","0.01","0.01","0.01","0.02","0","0.01"
"Cameroon"," Data source"," Other alcoholic beverages","","3.57","3.57","3.57","3.41","3.51","3.54"
"Canada"," Data source"," All types","8.20","8.00","8.10","8.20","8.30","8.20","8.40"
"Canada"," Data source"," Beer","3.70","3.70","3.80","3.90","4.00","4.00","4.20"
"Canada"," Data source"," Wine","2.10","2.00","2.00","2.00","2.00","1.90","1.90"
"Canada"," Data source"," Spirits","2.10","2.00","2.00","2.10","2.10","2.10","2.10"
"Canada"," Data source"," Other alcoholic beverages","0.30","0.30","0.30","0.20","0.20","0.20","0.20"
"Central African Republic"," Data source"," All types","","1.68","1.59","1.46","1.72","1.77","1.82"
"Central African Republic"," Data source"," Beer","","0.43","0.36","0.22","0.31","0.32","0.29"
"Central African Republic"," Data source"," Wine","","0.01","0","0","0","0.01","0.02"
"Central African Republic"," Data source"," Spirits","","0","0","0","0","0.02","0.04"
"Central African Republic"," Data source"," Other alcoholic beverages","","1.23","1.23","1.23","1.41","1.42","1.48"
"Chad"," Data source"," All types","","0.69","0.68","0.63","0.63","0.60","0.55"
"Chad"," Data source"," Beer","","0.48","0.47","0.42","0.37","0.37","0.32"
"Chad"," Data source"," Wine","","0.01","0.01","0.01","0.04","0.05","0.05"
"Chad"," Data source"," Spirits","","0.04","0.04","0.04","0.04","0.04","0.03"
"Chad"," Data source"," Other alcoholic beverages","","0.16","0.16","0.16","0.18","0.14","0.15"
"Chile"," Data source"," All types","","7.89","7.92","7.23","8.35","7.02","7.55"
"Chile"," Data source"," Beer","","2.85","2.79","2.67","2.55","2.51","2.35"
"Chile"," Data source"," Wine","","2.61","2.85","2.37","2.65","2.51","3.10"
"Chile"," Data source"," Spirits","","2.43","2.28","2.19","3.15","2.00","2.10"
"Chile"," Data source"," Other alcoholic beverages","","0","0","0","0","0","0"
"China"," Data source"," All types","5.74","5.74","5.81","5.81","5.74","5.65","5.75"
"China"," Data source"," Beer","1.70","1.76","1.88","1.90","1.83","1.77","1.67"
"China"," Data source"," Wine","0.18","0.17","0.16","0.17","0.18","0.21","0.17"
"China"," Data source"," Spirits","3.86","3.81","3.76","3.73","3.72","3.67","3.98"
"China"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0"
"Colombia"," Data source"," All types","4.46","4.43","4.30","4.33","4.35","4.29","4.21"
"Colombia"," Data source"," Beer","3.18","3.13","2.99","2.98","2.99","2.90","2.80"
"Colombia"," Data source"," Wine","0.05","0.05","0.05","0.05","0.05","0.06","0.07"
"Colombia"," Data source"," Spirits","1.22","1.23","1.24","1.28","1.29","1.31","1.33"
"Colombia"," Data source"," Other alcoholic beverages","0.01","0.02","0.02","0.02","0.02","0.02","0.02"
"Comoros"," Data source"," All types","","","","0.25","0.11","0.12","0.15"
"Comoros"," Data source"," Beer","","","","0.06","0.03","0.02","0.04"
"Comoros"," Data source"," Wine","","","","0.08","0.04","0.05","0.03"
"Comoros"," Data source"," Spirits","","","","0.11","0.04","0.05","0.08"
"Comoros"," Data source"," Other alcoholic beverages","","","","0","0","0","0"
"Congo"," Data source"," All types","","4.86","4.93","4.71","4.46","4.34","4.12"
"Congo"," Data source"," Beer","","4.10","4.13","3.96","3.88","3.76","3.53"
"Congo"," Data source"," Wine","","0.23","0.24","0.20","0.01","0.01","0.01"
"Congo"," Data source"," Spirits","","0.50","0.53","0.53","0.54","0.55","0.56"
"Congo"," Data source"," Other alcoholic beverages","","0.03","0.03","0.03","0.02","0.02","0.02"
"Cook Islands"," Data source"," All types","","","","15.78","13.67","7.07","13.01"
"Cook Islands"," Data source"," Beer","","","","5.00","2.63","2.45","2.10"
"Cook Islands"," Data source"," Wine","","","","2.54","2.70","1.49","5.06"
"Cook Islands"," Data source"," Spirits","","","","8.24","8.34","3.12","5.86"
"Cook Islands"," Data source"," Other alcoholic beverages","","","","0","0","0","0"
"Costa Rica"," Data source"," All types","3.70","3.63","3.56","3.53","3.43","3.49","3.65"
"Costa Rica"," Data source"," Beer","2.38","2.31","2.27","2.24","2.23","2.12","2.11"
"Costa Rica"," Data source"," Wine","0.27","0.27","0.26","0.23","0.20","0.21","0.19"
"Costa Rica"," Data source"," Spirits","1.03","1.02","1.00","1.02","0.96","1.12","1.31"
"Costa Rica"," Data source"," Other alcoholic beverages","0.03","0.03","0.04","0.04","0.04","0.04","0.04"
"Côte d'Ivoire"," Data source"," All types","","4.79","4.67","4.56","4.69","4.61","4.77"
"Côte d'Ivoire"," Data source"," Beer","","1.05","0.93","0.80","0.79","0.72","0.70"
"Côte d'Ivoire"," Data source"," Wine","","0.24","0.25","0.27","0.27","0.27","0.27"
"Côte d'Ivoire"," Data source"," Spirits","","0.01","0.01","0.01","0.05","0.02","0.02"
"Côte d'Ivoire"," Data source"," Other alcoholic beverages","","3.49","3.49","3.49","3.59","3.59","3.78"
"Croatia"," Data source"," All types","10.32","9.89","10.64","11.64","11.92","12.43","12.11"
"Croatia"," Data source"," Beer","4.59","4.50","4.26","4.62","4.57","4.74","4.50"
"Croatia"," Data source"," Wine","4.03","3.68","4.67","5.36","5.70","6.05","5.99"
"Croatia"," Data source"," Spirits","1.34","1.34","1.33","1.28","1.25","1.21","1.20"
"Croatia"," Data source"," Other alcoholic beverages","0.36","0.36","0.37","0.37","0.40","0.43","0.43"
"Cuba"," Data source"," All types","4.59","4.60","4.48","4.32","4.15","4.15","4.10"
"Cuba"," Data source"," Beer","1.71","1.78","1.73","1.69","1.65","1.63","1.61"
"Cuba"," Data source"," Wine","0.23","0.23","0.23","0.23","0.08","0.08","0.06"
"Cuba"," Data source"," Spirits","2.63","2.57","2.51","2.38","2.40","2.43","2.42"
"Cuba"," Data source"," Other alcoholic beverages","0.02","0.02","0.01","0.02","0.02","0.02","0.02"
"Cyprus"," Data source"," All types","","9.55","9.59","9.04","10.56","10.70","11.32"
"Cyprus"," Data source"," Beer","","2.84","3.21","3.30","3.48","3.53","3.78"
"Cyprus"," Data source"," Wine","","2.71","2.78","2.48","2.61","2.56","2.67"
"Cyprus"," Data source"," Spirits","","4.00","3.60","3.25","4.47","4.61","4.86"
"Cyprus"," Data source"," Other alcoholic beverages","","0","0","0","0","0","0"
"Czechia"," Data source"," All types","12.99","12.82","13.06","12.84","12.97","12.61","12.65"
"Czechia"," Data source"," Beer","6.92","6.90","7.15","7.15","7.15","6.79","6.79"
"Czechia"," Data source"," Wine","2.77","2.67","2.70","2.60","2.65","2.58","2.58"
"Czechia"," Data source"," Spirits","3.30","3.25","3.21","3.09","3.17","3.25","3.28"
"Czechia"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0"
"Democratic People's Republic of Korea"," Data source"," All types","","3.35","3.35","3.35","3.61","3.39","3.12"
"Democratic People's Republic of Korea"," Data source"," Beer","","0.09","0.09","0.09","0.09","0.15","0.16"
